user_id,total_orders,total_returns,return_ratio,order_value,account_age_dats,acc_creation_date,days_since_last_return,return_last_7_days,product_category,return_reason,is_high_value,risk_score,is_fraud
0,90,0,0.0,661,2025-03-13 14:46:15.855404,396,82,2,home,not_needed,0,0.0,0
1,83,0,0.0,1413,2026-04-12 14:46:15.855732,1,75,1,Toys_&_kids,damaged,0,0.2863890037284232,0
2,4,0,0.0,1941,2025-12-30 14:46:15.855924,104,61,2,electronics,wrong_item,0,0.0,0
3,17,0,0.0,1776,2026-04-08 14:46:15.856074,5,8,1,fitness_&_sports,not_needed,0,0.3368466053024314,0
4,20,0,0.0,2007,2026-04-02 14:46:15.856308,11,49,3,fashion,size_issue,0,0.2369708911051054,0
5,84,0,0.0,678,2024-06-06 14:46:15.856523,676,14,3,electronics,not_needed,0,0.0,0
6,9,0,0.0,1122,2024-10-30 14:46:15.856730,530,59,3,fitness_&_sports,damaged,0,0.0,0
7,15,0,0.0,1070,2025-12-29 14:46:15.856965,105,80,2,home,damaged,0,0.0,0
8,31,13,0.41935483870967744,2714,2024-04-03 14:46:15.857231,740,32,4,home,wrong_item,0,0.39444298503238984,1
9,42,2,0.047619047619047616,3562,2025-08-08 14:46:15.857476,248,8,1,fashion,size_issue,0,0.0,0
10,30,0,0.0,889,2025-12-20 14:46:15.857695,114,22,4,fitness_&_sports,size_issue,0,0.4197730932977072,0
11,29,0,0.0,1988,2025-12-28 14:46:15.857953,106,27,3,beauty_&_self_care,size_issue,0,0.0,0
12,49,0,0.0,920,2024-06-02 14:46:15.858238,680,0,0,Toys_&_kids,size_issue,0,0.20681788387508837,0
13,9,0,0.0,1086,2026-01-19 14:46:15.858538,84,87,0,beauty_&_self_care,damaged,0,0.0,0
14,8,0,0.0,1449,2025-04-20 14:46:15.858958,358,55,0,electronics,damaged,0,0.0,0
15,20,0,0.0,1733,2022-10-17 14:46:15.859184,1274,54,2,home,damaged,0,0.0,0
16,30,0,0.0,1833,2025-06-15 14:46:15.859389,302,15,0,fitness_&_sports,wrong_item,0,0.0,0
17,1,0,0.0,993,2025-09-09 14:46:15.859565,216,70,3,electronics,damaged,0,0.0,0
18,54,0,0.0,2715,2025-05-10 14:46:15.859915,338,30,1,fashion,size_issue,0,0.0,0
19,8,0,0.0,977,2026-03-14 14:46:15.860200,30,31,2,electronics,damaged,0,0.0,0
20,68,0,0.0,2093,2024-06-27 14:46:15.860460,655,74,0,fitness_&_sports,not_needed,0,0.0,0
21,35,0,0.0,1264,2025-05-31 14:46:15.860719,317,67,0,Toys_&_kids,damaged,0,0.0,0
22,40,0,0.0,911,2025-03-26 14:46:15.861005,383,75,2,Toys_&_kids,not_needed,0,0.0,0
23,66,0,0.0,1229,2025-06-17 14:46:15.861188,300,96,3,electronics,damaged,0,0.0,0
24,25,0,0.0,2449,2025-01-28 14:46:15.861311,440,29,4,beauty_&_self_care,damaged,0,0.49061436940479064,1
25,25,0,0.0,1518,2023-01-20 14:46:15.861490,1179,84,0,home,size_issue,0,0.0,0
26,55,53,0.9636363636363636,1178,2024-02-05 14:46:15.861609,798,46,1,fashion,damaged,0,0.5546009384774023,1
27,24,8,0.3333333333333333,1081,2025-12-28 14:46:15.861767,106,23,4,beauty_&_self_care,not_needed,0,0.30103697255479733,0
28,2,0,0.0,828,2025-11-12 14:46:15.862204,152,14,3,Toys_&_kids,wrong_item,0,0.0,0
29,10,9,0.9,4915,2025-07-18 14:46:15.862465,269,14,2,beauty_&_self_care,damaged,1,0.7106716886361635,1
30,2,0,0.0,940,2026-03-28 14:46:15.862636,16,54,3,fashion,wrong_item,0,0.2501721054693323,1
31,16,0,0.0,668,2025-04-28 14:46:15.862772,350,0,1,Toys_&_kids,not_needed,0,0.24291918454001246,0
32,92,0,0.0,1254,2025-03-07 14:46:15.862900,402,92,2,fitness_&_sports,not_needed,0,0.0,0
33,1,0,0.0,953,2026-03-31 14:46:15.863018,13,68,3,fashion,not_needed,0,0.29832317502336647,0
34,17,0,0.0,1809,2025-11-11 14:46:15.863159,153,99,1,fitness_&_sports,damaged,0,0.0,0
35,30,0,0.0,2638,2026-04-04 14:46:15.863273,9,83,3,fashion,wrong_item,0,0.3286576436884706,0
36,85,0,0.0,1162,2025-11-17 14:46:15.863391,147,42,3,Toys_&_kids,not_needed,0,0.0,0
37,12,0,0.0,1274,2025-05-28 14:46:15.863521,320,89,1,home,damaged,0,0.0,0
38,12,0,0.0,4184,2024-01-06 14:46:15.863652,828,35,1,home,damaged,1,0.24632955105992804,1
39,26,0,0.0,708,2024-08-15 14:46:15.863939,606,54,4,electronics,wrong_item,0,0.3206247737671865,0
40,52,23,0.4423076923076923,2126,2025-12-18 14:46:15.864166,116,11,4,beauty_&_self_care,wrong_item,0,0.398605131554361,1
41,27,0,0.0,1694,2025-08-13 14:46:15.864424,243,38,4,fitness_&_sports,not_needed,0,0.49484964170688206,0
42,40,0,0.0,1891,2025-08-19 14:46:15.864684,237,8,1,Toys_&_kids,wrong_item,0,0.0,0
43,15,10,0.6666666666666666,1884,2024-06-14 14:46:15.864903,668,37,2,fitness_&_sports,damaged,0,0.5641079905915249,1
44,26,21,0.8076923076923077,1216,2025-12-04 14:46:15.865216,130,53,2,Toys_&_kids,wrong_item,0,0.3761046521619416,0
45,40,0,0.0,1006,2025-01-30 14:46:15.865487,438,2,4,beauty_&_self_care,not_needed,0,0.5755875567504505,1
46,17,0,0.0,1662,2024-12-12 14:46:15.865811,487,60,4,home,size_issue,0,0.31508690941795386,1
47,10,0,0.0,2085,2021-10-11 14:46:15.866099,1645,15,0,home,size_issue,0,0.0,0
48,15,0,0.0,625,2026-03-10 14:46:15.866354,34,91,3,fashion,size_issue,0,0.0,0
49,128,127,0.9921875,1390,2025-04-18 14:46:15.866646,360,91,4,fitness_&_sports,not_needed,0,0.8109664793068256,1
50,75,4,0.05333333333333334,2143,2026-03-18 14:46:15.866944,26,32,0,home,damaged,0,0.34991565999521446,0
